,stationarity,autocorr_min,lag_min,entropy,linear_trend_slopes,linear_trend_intercepts,linear_trend_rvalues,linear_trend_pvalues,linear_trend_stderr,linear_trend_intercept_stderr
bjt74,0.0,-0.3730904008939315,630.0,0.341928899004448,3.758521587953067,253.5599667475641,0.9265574398567156,0.0,0.0485927109553822,1.0825058887143488
bjt75,0.0,-0.3752170994045097,630.0,0.3828891769872278,3.720202208844198,255.1228935032558,0.9316322926400464,0.0,0.04621375864380333,1.029509671059003
bjt76,0.0,-0.37219452447344226,629.0,0.3788919266850759,3.6798361064206553,256.8715335240177,0.9286223494128739,0.0,0.04682260898817395,1.0430731061950285
bjt77,0.0,-0.36623803690603807,629.0,0.39200839326900616,3.597428021930694,258.65122070273276,0.9252491606683158,0.0,0.04697280165080021,1.046418966891788
bjt78,0.0,-0.36247892767287737,629.0,0.3633776970467726,3.5661097678556115,258.6434430889077,0.9167264947262764,0.0,0.04949370464295193,1.1025774375806847
bjt79,0.0,-0.36508969658660406,630.0,0.39154196229155036,3.508744681211149,259.3770470003878,0.9116249920393918,0.0,0.050380580804741885,1.1223344885626627
bjt80,0.0,-0.36475336419463944,627.0,0.3898538879969,3.4325455446099493,260.8917305462159,0.904808280918979,0.0,0.05144539479874801,1.1460554828483172
bjt81,0.0,-0.3628788859568803,597.0,0.3797744370864944,3.377823858444294,262.1008274704179,0.9016384460249781,0.0,0.051599178198380106,1.1494813348416564
bjt82,0.0,-0.357704722077156,597.0,0.3521453698092305,3.3067873577005282,263.97904648800727,0.8841119305550316,0.0,0.05565872760176535,1.2399164237323825
bjt83,0.0,-0.3570604203038386,597.0,0.37764849862091365,3.2172409232615404,265.47045752699194,0.8709006195316575,1.8680881150340625e-306,0.05781811995262727,1.2880214767309504
bjt84,0.0,-0.36238062449922054,587.0,0.3430337496615987,3.1345488027939785,267.2004438430478,0.8601737772177509,1.365299045628702e-290,0.05918633549135078,1.3185013851077152
bjt85,0.0,-0.3575641435995549,574.0,0.3273377401754224,2.950624662528679,271.3812410825699,0.8346124577375955,1.3565982751134946e-257,0.0620174940400384,1.3815714575647216
bjt86,0.0,-0.35663191302576214,571.0,0.35018669683094816,2.819775884440957,273.71856974236664,0.8130899163845651,6.459524125269619e-234,0.06429298601416644,1.4322628763657343
bjt87,0.0,-0.3489917318297437,571.0,0.33002366428505236,2.7447615257485416,274.8048113090736,0.7850934633327389,2.385697559926187e-207,0.06896045067072112,1.5362405692490517
bjt88,0.0,-0.3364725339828885,571.0,0.2880696151869022,2.6739983711624045,275.84239649717836,0.7605292067946343,3.954383563112295e-187,0.07270339265654793,1.6196225551706445
bjt89,0.0,-0.32948060023933273,571.0,0.2801086029583941,2.6144864422483827,277.13026083208376,0.7482054640757907,6.989427611525265e-178,0.07383230864792621,1.6447715576548416
bjt90,0.0,-0.329145128852716,597.0,0.26074521810136,2.55134305322515,279.3257586138046,0.7392678407798415,1.6608571016049396e-171,0.07401318952790892,1.6488010636010504
bjt91,0.0,-0.33595800627349626,595.0,0.2555719571025685,2.52035215448769,280.09013527509615,0.741577682506022,3.961864221798841e-173,0.07261102232949777,1.617564809862586
