dates,transect_id,cross_distance,shore_x,shore_y
11/9/2001 0:00,583,134.14,-70.0418416,42.02552841
3/20/2001 0:00,583,124.73,-70.04193495,42.02548004
3/30/2001 0:00,583,121.79,-70.04196407,42.02546495
4/19/2001 0:00,583,130.5,-70.04187775,42.02550968
4/30/2001 0:00,583,131.16,-70.04187112,42.02551312
5/15/2001 0:00,583,131.09,-70.04187189,42.02551272
11/3/2000 0:00,583,128.31,-70.04189948,42.02549842
12/13/2002 0:00,583,125.62,-70.0419261,42.02548463
10/18/2000 0:00,583,137.78,-70.04180552,42.02554711
11/20/2000 0:00,583,135.19,-70.04183121,42.0255338
9/13/2000 0:00,583,141.61,-70.04176755,42.02556679
5/2/2005 0:00,583,122.41,-70.04195794,42.02546813
8/31/2000 0:00,583,135.22,-70.04183089,42.02553396
9/25/2000 0:00,583,140.65,-70.041777,42.02556189
4/12/2000 0:00,583,127.15,-70.04191093,42.02549249
4/27/2000 0:00,583,120.49,-70.04197695,42.02545827
3/27/2000 0:00,583,134.23,-70.04184073,42.02552887
3/23/2000 0:00,583,117.93,-70.04200239,42.02544509
3/18/2000 0:00,583,129.17,-70.04189091,42.02550286
3/17/2000 0:00,583,129.26,-70.04189003,42.02550332
3/15/2000 0:00,583,135.21,-70.04183094,42.02553393
8/3/2000 0:00,583,128.18,-70.04190069,42.02549779
5/9/2000 0:00,583,134.6,-70.04183706,42.02553076
6/7/2000 0:00,583,133.43,-70.04184864,42.02552476
7/5/2000 0:00,583,127.77,-70.04190479,42.02549567
4/14/1998 0:00,583,129.54,-70.04188718,42.02550479
9/27/2000 0:00,583,131.12,-70.04187153,42.0255129
10/5/2000 0:00,583,138.99,-70.04179346,42.02555336
5/11/2004 0:00,583,122.83,-70.0419538,42.02547027
12/19/2000 0:00,583,141.85,-70.04176513,42.02556804
12/4/2000 0:00,583,136.8,-70.04181522,42.02554208
2/16/2001 0:00,583,121.72,-70.04196483,42.02546456
3/7/2001 0:00,583,123,-70.04195213,42.02547113
8/14/2000 0:00,583,124.4,-70.04193825,42.02547833
2/1/2001 0:00,583,123.74,-70.04194474,42.02547497
5/23/2003 0:00,583,127.74,-70.04190507,42.02549552
1/13/2004 0:00,583,122.53,-70.0419568,42.02546872
9/3/2004 0:00,583,127.47,-70.04190777,42.02549412
2/16/2005 0:00,583,128.19,-70.04190062,42.02549783
1/25/2002 0:00,583,132.95,-70.04185342,42.02552229
3/16/2001 0:00,583,123.24,-70.04194968,42.0254724
9/11/2002 0:00,583,137.1,-70.04181222,42.02554364
12/21/2001 0:00,583,126.73,-70.04191506,42.02549034
2/20/2002 0:00,583,131.2,-70.04187077,42.02551329
2/11/2000 0:00,583,131.65,-70.0418663,42.02551561
1/8/2002 0:00,583,126.27,-70.04191963,42.02548798
8/29/2003 0:00,583,118.39,-70.04199781,42.02544746
1/17/2001 0:00,583,131.65,-70.04186631,42.02551561
1/4/2001 0:00,583,137.56,-70.04180765,42.025546
6/17/1999 0:00,584,136.41,-70.04147517,42.02517024
8/26/1999 0:00,584,139.01,-70.04144939,42.02518362
9/7/1999 0:00,584,136.24,-70.0414768,42.0251694
9/16/1999 0:00,584,139.43,-70.04144523,42.02518578
9/17/1999 0:00,584,140.18,-70.04143772,42.02518968
8/13/1999 0:00,584,141.01,-70.04142949,42.02519395
9/30/1999 0:00,584,134.44,-70.04149467,42.02516013
4/8/1999 0:00,584,133.58,-70.04150317,42.02515571
4/26/1999 0:00,584,136.21,-70.04147709,42.02516925
5/10/1999 0:00,584,136.57,-70.0414736,42.02517106
5/24/1999 0:00,584,136.17,-70.04147753,42.02516902
1/25/1999 0:00,584,133.65,-70.04150249,42.02515606
7/15/1999 0:00,584,138.49,-70.04145448,42.02518098
12/14/1999 0:00,584,135.21,-70.04148707,42.02516407
1/12/1999 0:00,584,131.05,-70.04152827,42.02514269
2/10/1999 0:00,584,131.94,-70.0415194,42.02514729
11/13/1998 0:00,584,132.89,-70.04151003,42.02515216
10/15/1998 0:00,584,129.8,-70.04154067,42.02513625
10/30/1998 0:00,584,130.17,-70.04153697,42.02513817
12/2/1998 0:00,584,130.19,-70.0415368,42.02513826
5/17/1998 0:00,584,130.96,-70.04152915,42.02514223
5/18/1998 0:00,584,131.71,-70.04152169,42.0251461
5/16/1998 0:00,584,130.26,-70.04153613,42.02513861
5/15/1998 0:00,584,129.8,-70.04154065,42.02513627
5/14/1998 0:00,584,126.93,-70.04156914,42.02512148
5/13/1998 0:00,584,126.62,-70.04157216,42.02511991
5/12/1998 0:00,584,126.79,-70.04157054,42.02512075
2/29/2000 0:00,584,134.71,-70.04149196,42.02516153
5/20/1998 0:00,584,133.22,-70.04150673,42.02515387
5/22/1998 0:00,584,132.16,-70.0415173,42.02514838
9/15/1998 0:00,584,131.05,-70.04152831,42.02514267
5/8/1998 0:00,584,130.19,-70.04153681,42.02513826
12/14/1998 0:00,584,125.79,-70.04158042,42.02511563
12/29/1998 0:00,584,130.41,-70.04153461,42.0251394
10/19/1999 0:00,584,127.08,-70.04156759,42.02512229
2/21/1999 0:00,584,133.98,-70.04149923,42.02515776
2/19/1999 0:00,584,129.06,-70.04154796,42.02513247
3/3/1999 0:00,584,132.67,-70.04151218,42.02515104
3/12/1999 0:00,584,134.36,-70.04149543,42.02515973
10/1/1998 0:00,584,131.91,-70.04151975,42.02514711
3/1/1999 0:00,584,131.42,-70.04152458,42.0251446
10/29/1999 0:00,584,132.37,-70.04151515,42.0251495
3/25/1999 0:00,584,131.21,-70.04152669,42.02514351
11/15/1999 0:00,584,134.27,-70.04149631,42.02515928
11/30/1999 0:00,584,131.83,-70.04152051,42.02514672
12/30/1999 0:00,584,135.21,-70.04148705,42.02516408
12/5/1999 0:00,584,131.74,-70.04152141,42.02514625
12/15/1999 0:00,584,131.05,-70.04152827,42.02514269
1/26/2000 0:00,584,127.1,-70.04156741,42.02512237
12/20/1999 0:00,584,134.33,-70.04149577,42.02515955
2/2/2000 0:00,584,131.09,-70.04152787,42.0251429
1/12/2000 0:00,584,135.72,-70.04148196,42.02516672
12/2/1999 0:00,584,128.83,-70.04155028,42.02513127
2/26/1999 0:00,584,134.06,-70.04149842,42.02515818
2/23/1999 0:00,584,135.44,-70.04148479,42.02516525
6/8/2001 0:00,584,135.75,-70.04148163,42.02516689
8/8/2001 0:00,584,137.26,-70.04146675,42.02517461
8/21/2001 0:00,584,141.91,-70.04142058,42.02519857
9/20/2001 0:00,584,136.62,-70.04147302,42.02517136
10/12/2001 0:00,584,135.17,-70.04148746,42.02516387
12/6/2001 0:00,584,132.1,-70.04151783,42.02514811
7/11/2001 0:00,584,138.51,-70.04145432,42.02518107
11/9/2001 0:00,584,134.46,-70.04149449,42.02516022
3/20/2001 0:00,584,125.81,-70.04158022,42.02511573
3/30/2001 0:00,584,123.77,-70.04160044,42.02510523
4/19/2001 0:00,584,130.14,-70.04153728,42.02513801
4/30/2001 0:00,584,129.1,-70.0415476,42.02513266
5/15/2001 0:00,584,129.85,-70.04154018,42.02513651
11/3/2000 0:00,584,129.97,-70.04153897,42.02513714
12/13/2002 0:00,584,129.39,-70.04154474,42.02513414
10/18/2000 0:00,584,136.75,-70.04147172,42.02517203
11/20/2000 0:00,584,134.37,-70.04149535,42.02515977
9/13/2000 0:00,584,145.2,-70.041388,42.02521548
5/2/2005 0:00,584,119.39,-70.04164384,42.02508271
8/31/2000 0:00,584,144.69,-70.04139302,42.02521288
9/25/2000 0:00,584,143.38,-70.04140607,42.0252061
4/12/2000 0:00,584,130.97,-70.04152909,42.02514226
4/27/2000 0:00,584,123.51,-70.041603,42.02510391
3/27/2000 0:00,584,139.82,-70.04144135,42.02518779
3/23/2000 0:00,584,131.7,-70.04152179,42.02514605
3/18/2000 0:00,584,128.93,-70.04154928,42.02513179
3/17/2000 0:00,584,132.41,-70.04151479,42.02514968
3/15/2000 0:00,584,137.71,-70.04146226,42.02517694
8/3/2000 0:00,584,132.84,-70.04151056,42.02515188
5/9/2000 0:00,584,134.67,-70.04149238,42.02516132
6/7/2000 0:00,584,133.97,-70.04149929,42.02515773
7/5/2000 0:00,584,128.9,-70.04154954,42.02513165
4/14/1998 0:00,584,134.43,-70.04149476,42.02516008
9/27/2000 0:00,584,134.09,-70.04149812,42.02515833
10/5/2000 0:00,584,139.57,-70.04144376,42.02518654
5/11/2004 0:00,584,117.64,-70.04166122,42.02507369
12/19/2000 0:00,584,144.51,-70.04139482,42.02521194
12/4/2000 0:00,584,138.18,-70.0414576,42.02517936
2/16/2001 0:00,584,127.67,-70.04156177,42.02512531
3/7/2001 0:00,584,124.01,-70.0415981,42.02510645
8/14/2000 0:00,584,129.35,-70.04154509,42.02513396
2/1/2001 0:00,584,126.44,-70.04157396,42.02511898
5/23/2003 0:00,584,128.84,-70.04155014,42.02513134
1/13/2004 0:00,584,120.38,-70.04163406,42.02508779
9/3/2004 0:00,584,132.97,-70.04150925,42.02515256
2/16/2005 0:00,584,126.14,-70.04157694,42.02511743
1/25/2002 0:00,584,131.59,-70.04152287,42.02514549
3/16/2001 0:00,584,125.42,-70.04158411,42.02511371
9/11/2002 0:00,584,134.02,-70.04149885,42.02515796
12/21/2001 0:00,584,132.34,-70.04151549,42.02514932
2/20/2002 0:00,584,136.36,-70.04147558,42.02517003
2/11/2000 0:00,584,132.09,-70.04151799,42.02514802
1/8/2002 0:00,584,127.93,-70.04155917,42.02512665
8/29/2003 0:00,584,120.62,-70.0416317,42.02508901
1/17/2001 0:00,584,131.68,-70.04152202,42.02514593
1/4/2001 0:00,584,138,-70.04145938,42.02517844
6/17/1999 0:00,585,138.63,-70.04110904,42.02481196
8/26/1999 0:00,585,144.02,-70.04105568,42.02483968
9/7/1999 0:00,585,143.46,-70.04106121,42.02483681
9/16/1999 0:00,585,143.38,-70.04106201,42.0248364
9/17/1999 0:00,585,142.96,-70.04106618,42.02483423
8/13/1999 0:00,585,144.81,-70.0410478,42.02484378
9/30/1999 0:00,585,137.09,-70.04112433,42.02480401
4/8/1999 0:00,585,138.9,-70.04110636,42.02481335
4/26/1999 0:00,585,140.81,-70.04108748,42.02482316
5/10/1999 0:00,585,140.08,-70.04109467,42.02481942
5/24/1999 0:00,585,138.76,-70.04110781,42.02481259
1/25/1999 0:00,585,137.25,-70.04112269,42.02480486
7/15/1999 0:00,585,140.21,-70.04109344,42.02482006
12/14/1999 0:00,585,133.82,-70.04115674,42.02478717
1/12/1999 0:00,585,133.45,-70.04116044,42.02478524
2/10/1999 0:00,585,131.99,-70.0411749,42.02477773
11/13/1998 0:00,585,134.81,-70.04114693,42.02479226
10/15/1998 0:00,585,129.7,-70.04119757,42.02476595
10/30/1998 0:00,585,133.68,-70.04115814,42.02478644
12/2/1998 0:00,585,133.65,-70.0411584,42.0247863
5/17/1998 0:00,585,133.87,-70.04115627,42.02478741
5/18/1998 0:00,585,134.46,-70.04115034,42.02479049
5/16/1998 0:00,585,132.72,-70.04116763,42.0247815
5/15/1998 0:00,585,133.59,-70.041159,42.02478599
5/14/1998 0:00,585,137,-70.04112517,42.02480357
5/13/1998 0:00,585,132.7,-70.04116786,42.02478139
5/12/1998 0:00,585,126.15,-70.04123274,42.02474767
2/29/2000 0:00,585,136.27,-70.04113249,42.02479977
5/20/1998 0:00,585,135.09,-70.04114416,42.0247937
5/22/1998 0:00,585,130.24,-70.0411922,42.02476873
9/15/1998 0:00,585,131.05,-70.04118418,42.02477291
5/8/1998 0:00,585,130.67,-70.04118792,42.02477096
12/14/1998 0:00,585,128.04,-70.04121399,42.02475741
12/29/1998 0:00,585,131.85,-70.04117621,42.02477705
10/19/1999 0:00,585,129.57,-70.04119885,42.02476528
2/21/1999 0:00,585,129.48,-70.04119971,42.02476484
2/19/1999 0:00,585,130.6,-70.0411886,42.02477061
3/3/1999 0:00,585,133.27,-70.04116213,42.02478436
3/12/1999 0:00,585,134.69,-70.04114813,42.02479164
10/1/1998 0:00,585,132.81,-70.04116674,42.02478197
3/1/1999 0:00,585,134.88,-70.04114623,42.02479263
10/29/1999 0:00,585,134.97,-70.0411453,42.02479311
3/25/1999 0:00,585,139,-70.04110537,42.02481386
11/15/1999 0:00,585,137.08,-70.04112445,42.02480395
11/30/1999 0:00,585,136.63,-70.04112884,42.02480167
12/30/1999 0:00,585,136.05,-70.04113458,42.02479868
12/5/1999 0:00,585,134.15,-70.04115344,42.02478888
12/15/1999 0:00,585,130.89,-70.04118577,42.02477208
1/26/2000 0:00,585,126.79,-70.04122642,42.02475095
12/20/1999 0:00,585,135.56,-70.04113954,42.02479611
2/2/2000 0:00,585,131.33,-70.04118138,42.02477436
1/12/2000 0:00,585,136.62,-70.04112902,42.02480157
12/2/1999 0:00,585,130.12,-70.04119341,42.02476811
2/26/1999 0:00,585,130.59,-70.04118878,42.02477051
2/23/1999 0:00,585,129,-70.04120454,42.02476233
6/8/2001 0:00,585,135.14,-70.04114365,42.02479397
8/8/2001 0:00,585,141.26,-70.04108299,42.02482549
8/21/2001 0:00,585,145.87,-70.04103735,42.02484921
9/20/2001 0:00,585,138.88,-70.04110656,42.02481324
10/12/2001 0:00,585,137.13,-70.04112397,42.02480419
12/6/2001 0:00,585,132.23,-70.04117252,42.02477896
7/11/2001 0:00,585,137.62,-70.04111911,42.02480672
11/9/2001 0:00,585,135.43,-70.04114078,42.02479546
3/20/2001 0:00,585,128.22,-70.04121221,42.02475834
3/30/2001 0:00,585,130.71,-70.04118758,42.02477114
4/19/2001 0:00,585,131.3,-70.04118168,42.0247742
4/30/2001 0:00,585,133.11,-70.04116377,42.02478351
5/15/2001 0:00,585,135.18,-70.04114327,42.02479417
11/3/2000 0:00,585,125.24,-70.04124173,42.02474299
12/13/2002 0:00,585,128.57,-70.04120872,42.02476015
10/18/2000 0:00,585,137.03,-70.04112488,42.02480372
11/20/2000 0:00,585,130.42,-70.04119045,42.02476965
9/13/2000 0:00,585,146.36,-70.04103243,42.02485177
5/2/2005 0:00,585,119.1,-70.04130258,42.02471137
8/31/2000 0:00,585,147.85,-70.04101769,42.02485943
9/25/2000 0:00,585,144.01,-70.04105581,42.02483962
4/12/2000 0:00,585,134.92,-70.04114584,42.02479283
4/27/2000 0:00,585,128.15,-70.04121291,42.02475797
3/27/2000 0:00,585,140.13,-70.04109424,42.02481965
3/23/2000 0:00,585,142.27,-70.04107296,42.0248307
3/18/2000 0:00,585,130.08,-70.04119378,42.02476792
3/17/2000 0:00,585,133.65,-70.04115846,42.02478627
3/15/2000 0:00,585,139.87,-70.04109674,42.02481834
8/3/2000 0:00,585,142.65,-70.04106927,42.02483262
5/9/2000 0:00,585,138.25,-70.04111288,42.02480996
6/7/2000 0:00,585,133.88,-70.0411561,42.0247875
7/5/2000 0:00,585,138.99,-70.04110554,42.02481377
4/14/1998 0:00,585,130.12,-70.04119341,42.02476811
9/27/2000 0:00,585,139.73,-70.04109817,42.02481761
10/5/2000 0:00,585,138.11,-70.04111426,42.02480924
5/11/2004 0:00,585,124.08,-70.04125321,42.02473703
12/19/2000 0:00,585,142.09,-70.04107482,42.02482974
12/4/2000 0:00,585,137.63,-70.04111894,42.02480681
2/16/2001 0:00,585,137.48,-70.04112044,42.02480603
3/7/2001 0:00,585,126.09,-70.04123335,42.02474735
8/14/2000 0:00,585,145.38,-70.04104219,42.02484669
2/1/2001 0:00,585,133.79,-70.04115698,42.02478704
5/23/2003 0:00,585,127.2,-70.04122237,42.02475306
1/13/2004 0:00,585,123.69,-70.04125709,42.02473501
9/3/2004 0:00,585,139.15,-70.04110389,42.02481463
2/16/2005 0:00,585,130.64,-70.04118825,42.02477079
1/25/2002 0:00,585,130.75,-70.04118712,42.02477137
3/16/2001 0:00,585,127.69,-70.04121743,42.02475562
9/11/2002 0:00,585,133.97,-70.04115525,42.02478794
12/21/2001 0:00,585,139.22,-70.04110324,42.02481497
2/20/2002 0:00,585,136.42,-70.04113095,42.02480057
2/11/2000 0:00,585,132.07,-70.04117403,42.02477818
1/8/2002 0:00,585,130.02,-70.04119443,42.02476758
8/29/2003 0:00,585,132.01,-70.04117466,42.02477785
1/17/2001 0:00,585,133.71,-70.04115782,42.02478661
1/4/2001 0:00,585,137.26,-70.0411226,42.02480491
6/17/1999 0:00,586,142.05,-70.04072794,42.02446149
8/26/1999 0:00,586,145.11,-70.04069757,42.02447729
9/7/1999 0:00,586,140.43,-70.04074399,42.02445314
9/16/1999 0:00,586,141.41,-70.0407343,42.02445818
9/17/1999 0:00,586,136.05,-70.04078735,42.02443057
8/13/1999 0:00,586,145.96,-70.04068925,42.02448163
9/30/1999 0:00,586,140.03,-70.04074789,42.02445111
4/8/1999 0:00,586,139.74,-70.04075085,42.02444957
4/26/1999 0:00,586,138.48,-70.04076331,42.02444308
5/10/1999 0:00,586,140.1,-70.04074728,42.02445142
5/24/1999 0:00,586,139.55,-70.0407527,42.0244486
1/25/1999 0:00,586,139.09,-70.04075724,42.02444624
7/15/1999 0:00,586,145.88,-70.04069002,42.02448122
12/14/1999 0:00,586,134.41,-70.04080362,42.02442211
