,dates,bjt6,bjt7,bjt8,bjt9,bjt10,bjt11,bjt12,bjt13,bjt14,bjt15,bjt16,bjt17,bjt18,bjt19,bjt20,bjt21,bjt22,bjt23,bjt24,bjt25,bjt26,bjt27,bjt28,bjt29,bjt30,bjt31,bjt32,bjt33,bjt34,bjt35,bjt36,bjt37,bjt38,bjt39,bjt40,bjt41,bjt42,bjt43,bjt44,bjt45,bjt46,bjt47,bjt48,bjt49,bjt50,bjt51,bjt52,bjt53,bjt54,bjt55,bjt56,bjt57,bjt58,bjt59,bjt60,bjt61,bjt62,bjt63,bjt64,bjt65,bjt66,bjt67,bjt68,bjt69,bjt70,bjt71,bjt72,bjt73,bjt74,bjt75,bjt76,bjt77,bjt78,bjt79,bjt80,bjt81,bjt82,bjt83,bjt84,bjt85,bjt86,bjt87,bjt88,bjt89,bjt90,bjt91
43,1988-12-30 15:04:00+00:00,,,318.94457646689665,317.63686984314944,315.8455888054642,,,,,,,,,,,,309.60531192564736,304.1376514693032,301.6946016751174,298.9575516076047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.68556540664724,274.91940618834235,278.2932504740156,277.0602787181934,271.519763571545,,,,,,,,,,,,,,
44,1989-01-31 15:03:43+00:00,,333.0829601495248,331.208402107856,329.37400657639273,322.7979946433447,324.0003678404681,,,,,,,,,,,,,300.7785349741418,300.88101822954206,294.90529461222695,289.9354816493347,287.46448705472676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.18352967093324,273.29461878831034,276.3800918684629,277.8244361224754,277.8580172227705,275.41465604901373,,,,,,,,,,,,,
45,1989-04-05 15:02:48+00:00,,342.04555236368583,338.1780605505739,328.7788635916584,320.8123253366591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1989-05-07 15:02:24+00:00,,334.9774936065612,330.98995582715577,327.52816908436273,320.1356382824556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1989-06-24 15:01:26+00:00,,343.75753891018957,345.1404919315904,338.24456429541715,331.2988268956147,330.9574607909678,,,,,,,,,,,,,,,296.0295484241965,290.0453825933254,285.07440170528,,,,,,,,,,,,,274.0857046129329,268.7910193596543,267.3573109082526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.7489204442361,279.34299900586427,285.3284473658895,294.819362762471,291.4524443204833,293.94800077267337,286.27603129747826,284.2698053317596,,,,,,,,,,,,
48,1989-07-26 15:00:51+00:00,,333.4307880580951,335.9365791809565,333.1274028500443,327.5398346169946,328.4375947892853,,,,,,,,,,,,,,,293.960199056049,289.1422013533595,285.32216122448597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.16377342113503,274.4329959320505,281.96048039138054,283.61160869065134,281.4373669823973,281.91760757307236,281.73608870601635,,,,,,,,,,,,
49,1989-09-28 14:59:24+00:00,363.7473138294951,361.2841023298768,355.08386033557525,356.3440017063897,350.0022930307774,343.63780981464595,340.2638096960967,336.7666886571638,331.64279310946677,,,,,325.25900235354356,322.7675272503435,,312.04743022348475,308.27007622299084,305.1863544164456,306.3957541940789,301.70956928167425,298.4865870019032,299.06274857269943,,,,,,,,,,,,,273.3638644697136,273.5501221123942,272.063776485758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.9919558636094,287.16196877031473,295.51225522903536,298.9863087380819,301.05400563177966,299.76516808483996,301.0473135896889,299.90893449608734,296.6293983770984,295.375111210815,293.4789046643294,295.1780655368115,291.1396049823155,290.9439765658893,288.64005211064915,286.16050436696,,,,
50,1989-10-14 14:58:52+00:00,352.77536364857315,353.34526197426453,350.80257280702347,349.2178178650987,348.41889630500816,340.90369365284266,335.8023399171692,333.3949020748046,327.21619203971215,,,,,,,,,305.62775535628765,300.9792292193256,299.2511063473046,296.3977251782805,292.28517613889136,291.96068650856404,,,,,,,,,,,,,276.55154957459183,275.46099863908023,271.71886679488716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.4537692047501,282.12838046967954,286.5540999510831,287.75529240047535,290.91859480656797,293.7798359335077,289.21483515119553,293.6696687186221,296.4391799052253,293.4037151705811,292.4563026851319,,285.217454520944,283.44198883588274,285.53980192589665,,,,
51,1989-10-30 14:58:25+00:00,348.63506607124333,355.73593957767423,353.3836844362532,351.4936590869445,348.7844025449801,344.69904330402824,336.1909503781651,328.880338488649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.9949232431347,289.0685574264319,286.614502357159,285.7406911600682,284.9346810624092,287.9600569846639,280.8946118762912,,,,,,,,,,,
52,1989-12-17 14:57:05+00:00,,329.0352079783321,340.2579417083492,335.6270880609773,337.898036165147,337.9295760673483,,,,,,,,,,,,,,,298.1667318105036,296.96829992760166,293.4965077344847,,,,,,,,,,,,,271.2546249952051,271.04462527771204,266.32011425689166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.9262023364097,279.81982809723144,283.86547173931496,290.4002573042274,287.0785190595847,284.57171314337654,285.5101852268309,284.47926857676094,284.3803031019577,,,,284.798938234219,280.93088203521495,278.28062487174657,,,,
53,1990-04-24 14:53:55+00:00,,,319.7742531075444,322.43227525311966,319.1246116668661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.09568453584507,278.94189297552634,282.2486012366984,284.1429027689304,284.68694559880845,281.11236517465545,,,,,,,,,,,,,
54,1990-06-27 14:53:51+00:00,350.4329987989684,349.8253797734408,349.2876042647115,344.2300663586129,342.0906718077259,338.2278393167708,,,,,,,,,,,307.9681676881612,305.1462888811828,302.62506324521473,301.0118984121709,299.41822278557385,295.88257339070924,293.49409755500824,,,,,,,,,,,,,280.73125694578823,276.57080837608754,272.2830896823531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.24471927065355,286.7075563773877,289.5767845936255,290.62507020092187,295.77563043309266,297.2684803993569,295.7057161619381,291.4188266698112,290.4542975109308,293.567597099338,289.42548216471823,288.3576045941295,,,,,,,,
55,1990-08-14 14:53:39+00:00,,336.7891116496904,337.744465846627,334.21164419803955,332.40954731292317,,,,,,,,,,,,,300.7483506496917,300.6552589579429,300.3474272412763,298.5427128290827,292.95991590738424,290.4648466681008,,,,,,,,,,,,,282.92709172322225,281.52436782890356,273.8508559453678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.9452786960484,295.05277615344346,300.0448404043102,303.1305136746721,300.9657538618044,298.75367830010214,297.6193296491374,297.2815423270502,291.750377421028,287.9723343755807,287.5166737123981,,,,,,,,
56,1990-08-30 14:53:32+00:00,355.694894149896,360.23298750017307,352.7106811226055,342.3431851404537,334.38104460399506,326.9501789774424,,,,,,,,,,,318.3839034267311,317.44554556460946,315.10206719910775,320.98023764561333,309.3143858416513,306.4554123525927,305.23397505305456,300.69903995654073,,,,,,,,,,,,269.4780731015701,270.87839926616505,270.8428069458332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.69160066801174,287.0751940562877,286.9328640090494,287.5275010774419,287.9234298715528,283.6606368611934,284.08376125815715,282.5784298925738,,,,,,,,,,,,
57,1990-10-01 14:53:19+00:00,,332.87868088193557,341.49969773733176,337.84917893593337,336.3325200585355,331.1857583401805,,,,,,,,,,,,306.4094181304955,304.3255590265977,305.02645492877815,301.7773642321864,299.5909459334936,296.42690012812193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.11062955219336,282.73728901327104,285.801453099533,279.61265984296796,275.95770294319925,278.2923243690416,,,,,,,,,,,,,
58,1990-10-17 14:53:14+00:00,,328.80342691774905,337.0784977595723,340.30071257198193,340.0478698264544,335.89602150490776,,,,,,,,,,,,304.6014316558384,302.3321332016673,299.8635802039964,297.52385043889245,298.48954442491976,298.2740701584122,297.64314153115424,,,,,,,,,,,,272.3200539070999,275.2937361852545,275.5871184225908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.53648523160615,286.10937320529746,293.18584143521196,295.89947528079495,294.0472995983847,297.2079786751095,295.91856132319214,290.6399244690547,282.0466715531974,283.44152701956983,283.2823411132192,,,,,,,,,
59,1990-11-02 14:53:06+00:00,350.4093736542434,354.27627017408446,356.5344956754195,350.585147401731,349.37265610466994,342.57359393912816,337.90854924117906,329.1642834529048,328.2505747385814,,,,,,,,311.4483237846373,310.63455483575854,321.968780449303,314.59733489886423,312.437544448365,307.8586131780438,305.4584124373891,299.59372094018767,,,,,,,,,,,,279.1528299842463,280.4939459628599,277.1713261843219,,,,,,,,,,,,,,,,,,,265.5611036868619,265.87797193141716,267.67168192480665,265.90942771803856,,,,,,,282.78182434687653,284.9297671415552,285.9602772291902,292.44810284862814,296.2972886400064,297.18951797682007,299.3803761597647,301.33311991050914,297.46688540223204,297.33588070762653,297.6040905213067,294.95443977313465,292.89915475345424,291.96994488846366,285.32860848388356,282.6698989714762,,,,
60,1990-11-18 14:53:08+00:00,,323.65872635155324,324.5587040006721,325.01901849108737,319.3756618598403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.7623086808726,270.04465226524337,265.00572997257865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.4242627495265,279.67024626730466,286.2593572216231,288.8793328326392,287.7060042661233,283.12077417632133,286.54192281104946,285.0901522872052,282.8278540711057,,,,,,,,,,
